Name,Label,levenshtein_real,levenshtein_fictional,fuzzy_real,fuzzy_fictional,double_metaphone_real,double_metaphone_fictional,is_dictionary_word
Harlequin,1.0,5,0,60.86956521739131,100.0,0,1,1
Hate-Monger,1.0,6,0,58.33333333333333,100.0,0,1,0
Hawkeye,1.0,5,0,50.0,100.0,0,1,0
Hawkman,1.0,5,0,58.82352941176471,100.0,0,1,0
Heap,1.0,5,0,50.0,100.0,0,1,1
Hobgoblin,1.0,5,0,63.1578947368421,100.0,0,1,1
Hornet,1.0,6,0,58.82352941176471,100.0,0,1,1
Hourman,1.0,5,0,55.55555555555556,100.0,0,1,0
Howling Commandos,1.0,9,0,58.06451612903225,100.0,0,1,1
Human Fly,1.0,5,0,60.0,100.0,0,1,1
Huntress,1.0,5,0,57.14285714285714,100.0,0,1,1
Icicle,1.0,6,0,55.55555555555556,100.0,1,1,1
Jack O'Lantern,1.0,7,0,57.14285714285714,100.0,0,1,1
Jester,1.0,5,0,62.5,100.0,0,1,1
Jetfire,1.0,5,0,52.63157894736843,100.0,0,1,0
Jude and Zero,1.0,7,0,60.0,100.0,0,1,1
K9,1.0,6,0,0.0,100.0,0,1,0
Kangaroo,1.0,4,0,62.5,100.0,0,1,1
Kick-Ass,1.0,6,0,44.44444444444444,100.0,0,1,0
Killer Frost,1.0,6,0,66.66666666666667,100.0,0,1,1
Kingmaker,1.0,5,0,60.0,100.0,0,1,1
"Knights Who Say ""Ni!""",1.0,14,0,42.42424242424242,100.0,0,1,1
Kung,1.0,5,0,50.0,100.0,0,1,1
Laurel Lance,1.0,6,0,63.63636363636363,100.0,0,1,1
Liberty Belle,1.0,7,0,61.53846153846154,100.0,0,1,1
Magdalena,1.0,5,0,69.56521739130434,100.0,0,1,0
Mala,1.0,5,0,50.0,100.0,0,1,1
Mirage,1.0,4,0,57.14285714285714,100.0,1,1,1
Mist,1.0,5,0,46.15384615384615,100.0,1,1,1
Mister Fear,1.0,6,0,60.86956521739131,100.0,0,1,1
Mister Terrific,1.0,8,0,57.14285714285714,100.0,0,1,1
Ms. Marvel,1.0,6,0,52.17391304347826,100.0,0,1,1
Murmur,1.0,5,0,50.0,100.0,1,1,1
Mysterio,1.0,5,0,60.0,100.0,0,1,0
Nemesis,1.0,5,0,57.14285714285714,100.0,0,1,0
Olympian,1.0,6,0,52.63157894736843,100.0,0,1,0
Parasite,1.0,4,0,66.66666666666667,100.0,0,1,1
Patriot,1.0,4,0,61.53846153846154,100.0,0,1,1
Persuader,1.0,5,0,60.0,100.0,0,1,1
Phantom Rider,1.0,6,0,61.53846153846154,100.0,0,1,1
Piggy,1.0,5,0,44.44444444444444,100.0,0,1,1
Doctor Poison,1.0,6,0,59.25925925925925,100.0,0,1,1
Proty,1.0,6,0,47.05882352941176,100.0,0,1,0
Puck,1.0,6,0,42.85714285714286,100.0,0,1,1
Quasar,1.0,5,0,55.55555555555556,100.0,0,1,0
Queen Bee,1.0,5,0,63.63636363636363,100.0,0,1,1
Red Tornado,1.0,6,0,63.1578947368421,100.0,0,1,1
Ricochet,1.0,6,0,66.66666666666667,100.0,0,1,1
Dread Pirate Roberts,1.0,11,0,58.06451612903225,100.0,0,1,1
Robin,1.0,4,0,53.333333333333336,100.0,0,1,1
Rocket Red,1.0,5,0,57.14285714285714,100.0,0,1,1
Ronin,1.0,5,0,53.333333333333336,100.0,0,1,0
Rose,1.0,6,0,46.15384615384615,100.0,1,1,1
Rose and Thorn,1.0,8,0,58.06451612903225,100.0,0,1,1
Jason Rusch,1.0,6,0,61.53846153846154,100.0,0,1,0
Oliver Sabel and Christian Mann,1.0,18,0,55.319148936170215,100.0,0,1,1
Scarlet Spider,1.0,6,0,62.06896551724138,100.0,0,1,1
Scorpio,1.0,4,0,50.0,100.0,0,1,0
